,0
0,1.5
1,1.5
2,1.5
4,1.5
6,1.5
9,1.5
10,1.25
11,1.0
14,1.0
17,1.25
18,1.5
21,1.75
22,1.5
23,1.5
25,1.5
26,1.25
27,1.5
28,1.0
29,1.25
30,1.25
31,1.0
32,1.25
33,1.25
35,1.0
36,1.75
37,1.5
38,1.25
39,1.25
42,1.5
43,1.25
44,1.0
45,1.25
46,1.25
48,1.0
49,1.25
50,1.0
51,1.0
52,0.75
53,0.75
55,1.5
56,1.25
57,1.5
58,1.5
59,1.25
60,1.25
62,1.25
63,1.25
64,1.25
65,1.25
66,1.0
67,1.25
68,1.25
69,1.25
70,1.0
71,1.0
72,1.5
75,1.5
76,1.5
77,1.5
79,1.25
80,1.0
81,1.0
83,1.0
84,1.0
88,1.5
89,1.5
90,1.25
91,1.5
92,1.25
93,-216.5
95,1.25
96,1.5
98,1.25
99,-276.25
100,1.0
101,-207.0
102,1.25
103,1.25
104,1.0
105,1.25
106,1.0
108,0.75
109,1.5
111,1.5
112,1.5
113,1.5
114,1.5
115,1.25
117,1.25
119,1.25
120,1.25
122,1.0
123,1.25
124,1.25
126,1.25
127,1.5
128,1.75
129,1.5
130,1.5
132,1.25
133,1.5
135,1.25
136,1.5
138,1.25
139,1.25
141,1.25
142,1.25
146,1.25
147,1.0
148,1.0
150,1.0
151,1.5
152,1.5
154,1.5
155,1.5
156,1.5
157,1.25
158,1.25
159,1.25
160,1.5
162,1.25
164,1.25
165,1.25
166,1.0
167,1.0
168,1.0
171,1.25
176,1.25
178,1.25
179,1.0
180,1.0
182,1.0
183,1.5
184,1.75
185,1.5
187,1.5
188,1.5
189,1.25
190,1.5
192,1.5
194,1.5
195,1.25
196,1.25
197,-282.75
198,1.25
199,1.25
200,1.0
202,1.0
203,1.0
205,1.0
206,0.75
207,1.5
209,1.25
213,1.25
214,1.25
215,1.5
217,1.25
218,1.0
219,1.5
220,1.25
222,1.25
223,1.25
224,1.0
225,1.0
228,1.0
229,1.75
230,1.5
231,1.5
233,1.25
235,1.25
237,1.25
238,1.0
239,1.25
240,1.0
241,1.25
242,1.0
243,1.0
246,1.25
247,1.75
248,1.25
249,1.5
251,1.5
256,1.5
257,1.25
259,1.5
260,1.25
262,1.5
263,1.0
264,1.5
265,1.25
270,1.0
